Date,Confirmed,Deaths,Recovered,n_confirmed,n_death,n_recovered,Infection_case
2020-03-17,38292,811,37481,0,0,0,3420
2020-03-18,43442,956,42486,5150,145,5005,4960
2020-03-19,48038,1084,46954,4596,128,4468,4048
2020-03-20,53244,1281,51963,5206,197,5009,4567
2020-03-21,57482,1425,56057,4238,144,4094,4263
2020-03-22,60902,1554,59348,3420,129,3291,4440
2020-03-23,65862,1811,64051,4960,257,4703,3952
2020-03-24,69910,2024,67886,4048,213,3835,3027
2020-03-25,74477,2282,72195,4567,258,4309,4362
2020-03-26,78740,2511,76229,4263,229,4034,3965
2020-03-27,83180,2769,80411,4440,258,4182,4456
2020-03-28,87132,3034,84098,3952,265,3687,4235
2020-03-29,90159,3211,86948,3027,177,2850,4368
2020-03-30,94521,3526,90995,4362,315,4047,3263
2020-03-31,98486,3794,94692,3965,268,3697,2646
2020-04-01,102942,4105,98837,4456,311,4145,3507
2020-04-02,107177,4433,102744,4235,328,3907,3446
2020-04-03,111545,4776,106769,4368,343,4025,3459
2020-04-04,114808,5010,109798,3263,234,3029,3288
2020-04-05,117454,5212,112242,2646,202,2444,2568
2020-04-06,120961,5510,115451,3507,298,3209,2323
2020-04-07,124407,5772,118635,3446,262,3184,1907
2020-04-08,127866,6047,121819,3459,275,3184,1786
2020-04-09,131154,6300,124854,3288,253,3035,2060
2020-04-10,133722,6500,127222,2568,200,2368,2236
2020-04-11,136045,6668,129377,2323,168,2155,2147
2020-04-12,137952,6825,131127,1907,157,1750,2187
2020-04-13,139738,6953,132785,1786,128,1658,1659
2020-04-14,141798,7108,134690,2060,155,1905,1303
2020-04-15,144034,7271,136763,2236,163,2073,1625
